Window training time,Source ID,Collection time,Publishing time,Preprocessing time start,Preprocessing time end,Data arrival time
3959098113,37f483c2,1750109231.53992,3959098111.441946,3959098113.447076,3959098113.5551763,1750109250.0972047
3959098121,73cc0ebb,1750109239.4174278,3959098119.3146057,3959098121.198598,3959098121.3458447,1750109250.1707866
3959098115,31166487,1750109233.5340722,3959098113.437816,3959098115.4131656,3959098115.5378838,1750109250.3487775
3959098123,ce1630f2,1750109241.3525991,3959098121.2485805,3959098123.195139,3959098123.3569927,1750109250.4196575
3959098117,31166487,1750109235.5572157,3959098115.455228,3959098117.363648,3959098117.487271,1750109250.6454735
3959098125,ce1630f2,1750109243.2885847,3959098123.1841836,3959098125.0629506,3959098125.204018,1750109250.6868918
3959098126,73cc0ebb,1750109245.2028182,3959098125.099401,3959098126.966532,3959098127.120288,1750109251.0429218
3959098119,73cc0ebb,1750109237.461819,3959098117.3610144,3959098119.2999244,3959098119.4253573,1750109251.156668
3959098128,37f483c2,1750109247.0796561,3959098126.97537,3959098128.893874,3959098129.054849,1750109252.315327
3959098121,73cc0ebb,1750109239.4174278,3959098119.3146057,3959098121.198598,3959098121.3458447,1750109252.632042
3959098130,37f483c2,1750109249.007485,3959098128.904798,3959098130.823924,3959098131.013004,1750109253.6611407
3959098123,ce1630f2,1750109241.3525991,3959098121.2485805,3959098123.195139,3959098123.3569927,1750109253.7983522
3959098132,73cc0ebb,1750109250.9105666,3959098130.814676,3959098132.7899513,3959098132.940011,1750109254.4754908
3959098125,ce1630f2,1750109243.2885847,3959098123.1841836,3959098125.0629506,3959098125.204018,1750109254.8070505
3959098134,ce1630f2,1750109252.8975372,3959098132.7939243,3959098134.6872644,3959098134.837417,1750109255.0308738
3959098126,73cc0ebb,1750109245.2028182,3959098125.099401,3959098126.966532,3959098127.120288,1750109255.0419154
3959098128,37f483c2,1750109247.0796561,3959098126.97537,3959098128.893874,3959098129.054849,1750109255.3198082
3959098130,37f483c2,1750109249.007485,3959098128.904798,3959098130.823924,3959098131.013004,1750109255.5541873
3959098132,73cc0ebb,1750109250.9105666,3959098130.814676,3959098132.7899513,3959098132.940011,1750109255.8057656
3959098134,ce1630f2,1750109252.8975372,3959098132.7939243,3959098134.6872644,3959098134.837417,1750109256.045537
3959098136,50931061,1750109254.7829673,3959098134.6829987,3959098136.6106095,3959098136.752555,1750109257.0124753
3959098136,50931061,1750109254.7829673,3959098134.6829987,3959098136.6106095,3959098136.752555,1750109257.05772
3959098138,50931061,1750109256.7297926,3959098136.6306434,3959098138.5145793,3959098138.6531315,1750109258.8010318
3959098138,50931061,1750109256.7297926,3959098136.6306434,3959098138.5145793,3959098138.6531315,1750109258.898005
3959098140,31166487,1750109258.6038563,3959098138.5084867,3959098140.4707437,3959098140.627328,1750109260.8721764
3959098140,31166487,1750109258.6038563,3959098138.5084867,3959098140.4707437,3959098140.627328,1750109261.1337593
3959098142,73cc0ebb,1750109260.552234,3959098140.456951,3959098142.4736037,3959098142.5999064,1750109262.7482944
3959098142,73cc0ebb,1750109260.552234,3959098140.456951,3959098142.4736037,3959098142.5999064,1750109262.8214467
3959098144,406fed66,1750109262.5692997,3959098142.4713964,3959098144.415287,3959098144.5551124,1750109264.6949937
3959098144,406fed66,1750109262.5692997,3959098142.4713964,3959098144.415287,3959098144.5551124,1750109264.7612624
3959098146,31166487,1750109264.509877,3959098144.407373,3959098146.328352,3959098146.46918,1750109266.6272478
3959098146,31166487,1750109264.509877,3959098144.407373,3959098146.328352,3959098146.46918,1750109266.867593
3959098148,406fed66,1750109266.420741,3959098146.3213763,3959098148.211136,3959098148.354446,1750109268.702537
3959098148,406fed66,1750109266.420741,3959098146.3213763,3959098148.211136,3959098148.354446,1750109268.877685
3959098150,ce1630f2,1750109268.3295503,3959098148.226693,3959098150.142113,3959098150.280162,1750109270.4428394
3959098150,ce1630f2,1750109268.3295503,3959098148.226693,3959098150.142113,3959098150.280162,1750109270.6054053
3959098152,31166487,1750109270.2293377,3959098150.134053,3959098152.023833,3959098152.163079,1750109272.3173296
3959098152,31166487,1750109270.2293377,3959098150.134053,3959098152.023833,3959098152.163079,1750109272.5542853
3959098154,31166487,1750109272.146155,3959098152.0436497,3959098154.0648527,3959098154.1885147,1750109274.3422008
3959098154,31166487,1750109272.146155,3959098152.0436497,3959098154.0648527,3959098154.1885147,1750109274.3792582
3959098155,50931061,1750109274.1515343,3959098154.050746,3959098155.9767075,3959098156.10832,1750109276.2550175
3959098155,50931061,1750109274.1515343,3959098154.050746,3959098155.9767075,3959098156.10832,1750109276.5338209
3959098157,31166487,1750109276.0658796,3959098155.9691014,3959098157.880627,3959098158.0119534,1750109278.1699154
3959098157,31166487,1750109276.0658796,3959098155.9691014,3959098157.880627,3959098158.0119534,1750109278.2971494
3959098159,31166487,1750109277.9775777,3959098157.8753576,3959098159.832684,3959098160.012423,1750109280.17505
3959098159,31166487,1750109277.9775777,3959098157.8753576,3959098159.832684,3959098160.012423,1750109280.3379474
3959098161,73cc0ebb,1750109279.9278119,3959098159.8285317,3959098161.69913,3959098161.832709,1750109281.9939973
3959098161,73cc0ebb,1750109279.9278119,3959098159.8285317,3959098161.69913,3959098161.832709,1750109282.1810489
3959098163,37f483c2,1750109281.7922912,3959098161.692779,3959098163.6737556,3959098163.8089075,1750109283.9670827
3959098163,37f483c2,1750109281.7922912,3959098161.692779,3959098163.6737556,3959098163.8089075,1750109284.1003199
3959098165,50931061,1750109283.7879913,3959098163.6893387,3959098165.5587425,3959098165.6926813,1750109285.8313444
3959098165,50931061,1750109283.7879913,3959098163.6893387,3959098165.5587425,3959098165.6926813,1750109285.9721618
3959098167,73cc0ebb,1750109285.6504393,3959098165.551738,3959098167.459774,3959098167.5917454,1750109287.849663
3959098167,73cc0ebb,1750109285.6504393,3959098165.551738,3959098167.459774,3959098167.5917454,1750109288.000864
3959098169,37f483c2,1750109287.6038437,3959098167.5026407,3959098169.438915,3959098169.583471,1750109289.7363431
3959098169,37f483c2,1750109287.6038437,3959098167.5026407,3959098169.438915,3959098169.583471,1750109289.8694036
3959098171,31166487,1750109289.5208662,3959098169.428315,3959098171.3657665,3959098171.496675,1750109291.7210865
3959098171,31166487,1750109289.5208662,3959098169.428315,3959098171.3657665,3959098171.496675,1750109291.850205
3959098173,50931061,1750109291.4723768,3959098171.3705597,3959098173.3041396,3959098173.4511385,1750109293.8014152
3959098173,50931061,1750109291.4723768,3959098171.3705597,3959098173.3041396,3959098173.4511385,1750109293.9433503
3959098175,ce1630f2,1750109293.422204,3959098173.32502,3959098175.143932,3959098175.2806683,1750109295.5442796
3959098175,ce1630f2,1750109293.422204,3959098173.32502,3959098175.143932,3959098175.2806683,1750109295.6924849
3959098177,31166487,1750109295.2976313,3959098175.1964483,3959098177.0954447,3959098177.24317,1750109297.3910832
3959098177,31166487,1750109295.2976313,3959098175.1964483,3959098177.0954447,3959098177.24317,1750109297.5476675
3959098178,ce1630f2,1750109297.2050538,3959098177.1049385,3959098178.9434333,3959098179.0866947,1750109299.3340611
